sequence,wm_chap,term,also_see,defined_by_fname,defined_by_lname,citation_URL,defintion,,,,,,,,,,,,,,,,,,,
203,5,Defense Control Strategy,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",The risk control strategy that attempts to eliminate or reduce any remaining uncontrolled risk through the application of additional controls and safeguards.,,,,,,,,,,,,,,,,,,,
204,5,Dumpster Diving,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",An information attack that involves searching through a target organization’s trash and recycling bins for sensitive information..,,,,,,,,,,,,,,,,,,,
205,5,Exposure Factor (EF),,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.","In a cost-benefit analysis, the expected percentage of loss that would occur from a particular attack.",,,,,,,,,,,,,,,,,,,
206,5,Likelihood,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",The probability that a specific vulnerability within an organization will be the target of an attack.,,,,,,,,,,,,,,,,,,,
207,5,Loss Frequency,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",The calculation of the likelihood of an attack coupled with the attack frequency to determine the expected number of losses within a specified time range.,,,,,,,,,,,,,,,,,,,
208,5,Loss Magnitude,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.","Also known as event loss magnitude, the combination of an asset’s value and the percentage of it that might be lost in an attack.",,,,,,,,,,,,,,,,,,,
209,5,Metrics-based Measures,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",Performance measures or metrics based on observed numerical data.,,,,,,,,,,,,,,,,,,,
210,5,Mitigation Risk Control Strategy,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",The risk control strategy that attempts to reduce the impact of a successful attack through planning and preparation.,,,,,,,,,,,,,,,,,,,
211,5,Operational Feasibility,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.","An assessment of user acceptance and support, management acceptance and support, and the overall requirements of the organization’s stakeholders.",,,,,,,,,,,,,,,,,,,
212,5,Organizational Feasibility,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.","An assessment of how well the proposed information security alternatives will contribute to the efficiency, effectiveness, and overall operation of an organization.",,,,,,,,,,,,,,,,,,,
213,5,Performance Gap,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",The difference between an organization’s observed and desired performance.,,,,,,,,,,,,,,,,,,,
214,5,Political Feasibility,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",An assessment of which controls can and cannot occur based on the consensus and relationships among communities of interest.,,,,,,,,,,,,,,,,,,,
215,5,Process-based Measures,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",Performance measures or metrics based on intangible activities.,,,,,,,,,,,,,,,,,,,
216,5,Qualitative Assessment,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",An asset valuation approach that uses categorical or non-numeric values rather than absolute numerical measures.,,,,,,,,,,,,,,,,,,,
217,5,Quantitative Assessment,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",An asset valuation approach that attempts to assign absolute numerical measures.,,,,,,,,,,,,,,,,,,,
218,5,Residual Risk,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",The risk to information assets that remains even after current controls have been applied.,,,,,,,,,,,,,,,,,,,
219,5,Risk Appetite,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",The quantity and nature of risk that organizations are willing to accept as they evaluate the tradeoffs between perfect security and unlimited accessibility.,,,,,,,,,,,,,,,,,,,
220,5,Risk Assessment,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",A determination of the extent to which the organizations information assets are exposed or at risk.,,,,,,,,,,,,,,,,,,,
221,5,Risk Control,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",The application of controls to reduce the risks to an organization’s information assets to an acceptable level.,,,,,,,,,,,,,,,,,,,
222,5,Risk Identification,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.","The recognition, enumeration, and documentation of risks to an organization’s information assets.",,,,,,,,,,,,,,,,,,,
223,5,Risk Management,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.","The process of identifying risk, assessing its relative magnitude, and taking steps to reduce it to an acceptable level.",,,,,,,,,,,,,,,,,,,
224,5,Risk Tolerance,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",See risk appetite,,,,,,,,,,,,,,,,,,,
225,5,Security Clearance,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",A personnel security structure in which each user of an information asset is assigned an authorization level that identifies the level of classified information he or she is “cleared” to access..,,,,,,,,,,,,,,,,,,,
226,5,Single Loss Expectancy (SLE),,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.","In a cost-benefit analysis, the calculated value associated with the most likely loss from an attack. The SLE is the product of the asset’s value and the exposure factor.",,,,,,,,,,,,,,,,,,,
227,5,Technical Feasibility,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",An assessment of whether the organization can acquire the technology necessary to implement and support the proposed control.,,,,,,,,,,,,,,,,,,,
228,5,Termination Risk Control Strategy,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",The risk control strategy that eliminates all risk associated with an information asset by removing it from service.,,,,,,,,,,,,,,,,,,,
229,5,Threat Assessment,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.","An evaluation of the threats to information assets, including a determination of their potential to endanger the organization.",,,,,,,,,,,,,,,,,,,
230,5,Threats-Vulnerabilities-Assets (TVA) Triples,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.","A pairing of an asset with a threat and an identification of vulnerabilities that exist between the two. This pairing is often  expressed in the format TxVyAz, where there may be one or more vulnerabilities between Threat X and Asset Z.",,,,,,,,,,,,,,,,,,,
231,5,Threats-Vulnerabilities-Assets (TVA) Worksheet,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.","A document that shows a comparative ranking of prioritized assets against prioritized threats, with an indication of any vulnerabilities in the asset/threat pairings.",,,,,,,,,,,,,,,,,,,
232,5,Transference Risk Control Strategy,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.","The risk control strategy that attempts to shift risk to other assets, other processes, or other organizations.",,,,,,,,,,,,,,,,,,,
233,9,Air-Aspirating Detector,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.","A fire detection sensor used in high-sensitivity areas that works by taking in air, filtering it, and passing it through a chamber that contains a laser beam. The alarm triggers if the beam is broken.",,,,,,,,,,,,,,,,,,,
234,9,Badge,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",An identification card typically worn in a visible location to quickly verify an authorized member. The badge may or may not show the wearer’s name,,,,,,,,,,,,,,,,,,,
235,9,Biometric Lock,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.","A lock that reads a unique biological attribute such as a fingerprint, iris, retina, or palm and then uses that input as a key.",,,,,,,,,,,,,,,,,,,
236,9,Clean Agent,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",A fire suppression agent that does not leave any residue after use or interfere with the operation of electrical or electronic equipment.,,,,,,,,,,,,,,,,,,,
237,9,Closed-circuit Television (CCT/CCTV),,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",A video capture and recording system used to monitor a facility.,,,,,,,,,,,,,,,,,,,
238,9,Contact and Weight Sensor,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.","An alarm sensor designed to detect increased pressure or contact at a specific location, such as a floor pad or a window..",,,,,,,,,,,,,,,,,,,
239,9,Delta Conversion Online UPS,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.","An uninterruptible power supply (UPS) that is similar to a double conversion online UPS except that it incorporates a delta transformer, which assists in powering the inverter while outside power is available.",,,,,,,,,,,,,,,,,,,
240,9,Deluge Systems,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",A fire suppression sprinkler system that keeps all individual sprinkler heads open and applies water to all areas when activated.,,,,,,,,,,,,,,,,,,,
241,9,Double Conversion Online UPS,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.","A UPS in which the protected device draws power from an output inverter. The inverter is powered by the UPS battery, which is constantly recharged from the outside power.",,,,,,,,,,,,,,,,,,,
242,9,Dry-pipe System,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.","A fire suppression sprinkler system that has pressurized air in all pipes. The air is released in the event of a fire, allowing water to flow from a central area.",,,,,,,,,,,,,,,,,,,
243,9,Electromagnetic Radiation (EMR),,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.","The transmission of radiant energy through space, commonly referred to as radio waves.",,,,,,,,,,,,,,,,,,,
244,9,Electromechanical Lock,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.","A lock that can accept a variety of inputs as keys, including magnetic strips on ID cards, radio signals from name badges, personal identification numbers (PINs) typed into a keypad, or some combination of these to activate an electrically powered locking mechanism.",,,,,,,,,,,,,,,,,,,
245,9,Electrostatic Discharge (ESD),,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",The release of ambient static electricity into a ground.,,,,,,,,,,,,,,,,,,,
246,9,Facilities Management,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",The aspect of organizational management focused on the development and maintenance of its buildings and physical infrastructure.,,,,,,,,,,,,,,,,,,,
247,9,Fail-SAFE Lock,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",An electromechanical device that automatically releases the lock protecting a control point if a power outage occurs. This type of lock is used for fire safety locations.,,,,,,,,,,,,,,,,,,,
248,9,Fail-SECURE Lock,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",An electromechanical device that stays locked and maintains the security of the control point if a power outage occurs.,,,,,,,,,,,,,,,,,,,
249,9,Fire Suppression Systems,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.","Devices that are installed and maintained to detect and respond to a fire, potential fire, or combustion danger.",,,,,,,,,,,,,,,,,,,
250,9,Fixed Temperature Sensor,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",A fire detection sensor that works by detecting the point at which the ambient temperature in an area reaches a predetermined level.,,,,,,,,,,,,,,,,,,,
251,9,Flame Detector,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",A fire detection system that works by detecting the infrared or ultraviolet light produced by an open flame.,,,,,,,,,,,,,,,,,,,
252,9,Gaseous (or Chemical Gas) Emission Systems,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",Fire suppression systems that operate through the delivery of gases rather than water.,,,,,,,,,,,,,,,,,,,
253,9,Ground Fault Circuit Interruption,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",A special circuit device designed to immediately disconnect a power supply when a sudden discharge (ground fault) is detected,,,,,,,,,,,,,,,,,,,
254,9,Humidity,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",The amount of moisture in the air.,,,,,,,,,,,,,,,,,,,
255,9,Identification (ID) Card,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.","A document used to verify the identity of a member of an organization, group, or domain.",,,,,,,,,,,,,,,,,,,
256,9,Ionization Sensor,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",A fire detection sensor that works by exposing the ambient air to a small amount of a harmless radioactive material within a detection chamber; an alarm is triggered when the level of electrical conductivity changes within the chamber.,,,,,,,,,,,,,,,,,,,
257,9,Line-interactive UPS,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",A UPS in which a pair of inverters and converters draw power from the outside source both to charge the battery and provide power to the internal protected device.,,,,,,,,,,,,,,,,,,,
258,9,Persontrap,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.","A small room or enclosure with separate entry and exit points, designed to restrain a person who fails an access authorization attempt.",,,,,,,,,,,,,,,,,,,
259,9,Mechanical Lock,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",A physical lock that may rely on either a key or numerical combination to rotate tumblers and release the hasp. Also known as a manual lock.,,,,,,,,,,,,,,,,,,,
260,9,Motion Detector,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",An alarm sensor designed to detect movement within a defined space.,,,,,,,,,,,,,,,,,,,
261,9,Noise,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",The presence of additional and disruptive signals in network communications or electrical power delivery.,,,,,,,,,,,,,,,,,,,
262,9,Photoelectric Sensor,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.","A fire detection sensor that works by projecting an infrared beam across an area. If the beam is interrupted, presumably by smoke, the alarm or suppression system is activated.",,,,,,,,,,,,,,,,,,,
263,9,Physical Security,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.","The protection of physical items, objects, or areas from unauthorized access and misuse.",,,,,,,,,,,,,,,,,,,
264,9,Plenum,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",A space between the ceiling in one level of a commercial building and the floor of the level above. The plenum is used for air return.,,,,,,,,,,,,,,,,,,,
265,9,Pre-action System,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.","A fire suppression sprinkler system that employs a two-phase response to a fire. When a fire is detected anywhere in the facility, the system will first flood all pipes, then activate only the sprinkler heads in the area of the fire.",,,,,,,,,,,,,,,,,,,
266,9,Proximity Reader,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",An electronic signal receiver used with an electromechanical lock that allows users to place their cards within the reader’s range and release the locking mechanism.,,,,,,,,,,,,,,,,,,,
267,9,Rate-of-rise Sensor,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",A fire detection sensor that works by detecting an unusually rapid increase in the area temperature within a relatively short period of time.,,,,,,,,,,,,,,,,,,,
268,9,Secure Facility,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",A physical location that has controls in place to minimize the risk of attacks from physical threats.,,,,,,,,,,,,,,,,,,,
269,9,Smoke Detection System,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",A category of fire detection systems that focuses on detecting the smoke from a fire.,,,,,,,,,,,,,,,,,,,
270,9,Sprinkler System,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.","A fire suppression system designed to apply a liquid, usually water, to all areas in which a fire has been detected.",,,,,,,,,,,,,,,,,,,
271,9,Standby Ferroresonant UPS,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.","A UPS in which the outside power source directly feeds the internal protected device. The UPS serves as a battery backup, incorporating a ferroresonant transformer instead of a converter switch, providing line filtering and reducing the effect of some power problems, and reducing noise that may be present in the power as it is delivered.",,,,,,,,,,,,,,,,,,,
272,9,Standby (or Offline) UPS,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",An offline battery backup that detects the interruption of power to equipment and activates a transfer switch that provides power from batteries through a DC to AC converter until normal power is restored or the computer is shut down.,,,,,,,,,,,,,,,,,,,
273,9,Static Electricity,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.","An imbalance of electrical charges in the atmosphere or on the surface of a material, caused by triboelectrification.",,,,,,,,,,,,,,,,,,,
274,9,Tailgating,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",The process of gaining unauthorized entry into a facility by closely following another person through an entrance and using the credentials of the authorized person to bypass a control point.,,,,,,,,,,,,,,,,,,,
275,9,Telecommuting,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",A work arrangement in which employees work from an off-site location and connect to an organization’s equipment electronically. Also known as telework.,,,,,,,,,,,,,,,,,,,
276,9,Telework,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",See telecommuting.,,,,,,,,,,,,,,,,,,,
277,9,TEMPEST,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",A U.S. government program designed to protect computers from electronic remote eavesdropping by reducing EMR emissions.,,,,,,,,,,,,,,,,,,,
278,9,Thermal Detection System,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",A  category of fire detection systems that focuses on detecting the heat from a fire.,,,,,,,,,,,,,,,,,,,
279,9,Thermal Detector,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",An alarm sensor designed to detect a defined rate of change in the ambient temperature within a defined space.,,,,,,,,,,,,,,,,,,,
280,9,Triboelectrification,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.","The exchange of electrons between two materials when they make contact, resulting in one object becoming more positively charged and the other more negatively charged.",,,,,,,,,,,,,,,,,,,
281,9,Vibration Sensor,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",An alarm sensor designed to detect movement of the sensor rather than movement in the environment.,,,,,,,,,,,,,,,,,,,
282,9,Virtual Organization,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.","A group of people brought together for a specific task, usually from different organizations, divisions, or departments..",,,,,,,,,,,,,,,,,,,
283,9,Water Mist Sprinkler,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",A fire suppression sprinkler system that relies on ultra-fine mists to reduce the ambient temperature below that needed to sustain a flame.,,,,,,,,,,,,,,,,,,,
284,9,Wet-pipe System,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",A fire suppression sprinkler system that contains pressurized water in all pipes and has some form of valve in each protected area.,,,,,,,,,,,,,,,,,,,
285,8,Advanced Encryption Standard (AES),,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.","The current federal standard for the encryption of data, as specified by NIST. AES is based on the Rijndael algorithm, which was developed by Vincent Rijmen and Joan Daemen.",,,,,,,,,,,,,,,,,,,
286,8,Application Header (AH) protocol,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.","In IPsec, a protocol that provides system-to-system authentication and data integrity verification, but does not provide secrecy for the content of a network communication.",,,,,,,,,,,,,,,,,,,
287,8,Asymmetric encryption,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.","An cryptographic method that incorporates mathematical operations involving both a public key and a private key to encipher or decipher a message. Either key can be used to encrypt a message, but then the other key is required to decrypt it.",,,,,,,,,,,,,,,,,,,
288,8,Certificate Authority (CA),,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.","In PKI, a third party that manages users’ digital certificates.",,,,,,,,,,,,,,,,,,,
289,8,Certificate Revocation List (CRL),,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.","Is a list from the issuing CA of certificates that have been revoked before they were set to expire.  In PKI, a published list of revoked or terminated digital certificates.",,,,,,,,,,,,,,,,,,,
290,8,CRL,Certificate Revocation List,Patrick,Slattery,https://www.securew2.com/blog/public-key-infrastructure-explained/,"Is a list from the issuing CA of certificates that have been revoked before they were set to expire.  In PKI, a published list of revoked or terminated digital certificates.",,,,,,,,,,,,,,,,,,,
291,8,Certificate Trust Chain,,Patrick,Slattery,https://www.securew2.com/blog/public-key-infrastructure-explained/,"Is the multi-level hierarchy of trust in a public key infrastrucutre. In practice, these chains tend to interlink with other chains often from other CAs.",,,,,,,,,,,,,,,,,,,
292,8,Cross Signing,,Patrick,Slattery,https://www.securew2.com/blog/public-key-infrastructure-explained/,"Expands trust within your network. When a certificate is signed by two CAs, it allows the certificate to verify trust by more than one CA without the need to distribute a separate certificate for each CA.",,,,,,,,,,,,,,,,,,,
293,8,Cryptanalysis,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",The process of obtaining the plaintext message from a ciphertext message without knowing the keys used to perform the encryption.,,,,,,,,,,,,,,,,,,,
294,8,Cryptography,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",The process of making and using codes to secure the transmission of information.,,,,,,,,,,,,,,,,,,,
295,8,Cryptology,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",The field of science that encompasses cryptography and cryptanalysis.,,,,,,,,,,,,,,,,,,,
296,8,Diffie-Hellman Key Exchange,,Michael E Whitman,Herbert J Mattord,"Principles of Information Security, 6th Edition. Cengage. ISBN10: 1-337-10206-7; ISBN13: 978-1-337-10206-3.",A hybrid cryptosystem that facilitates exchanging private keys using public-key encryption.,,,,,,,,,,,,,,,,,,,
